[2025-09-16T05:28:50.785Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:54.308Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:29:08.930Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:29:17.110Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T11:41:01.438Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T11:41:01.476Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T11:41:01.801Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:41:01.931Z] [DEBUG] [KILL-CHROME] Erro ao matar msedge.exe: | Data: "Command failed: taskkill /f /im msedge.exe /t\nERRO: o processo \"msedge.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:41:02.052Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:41:02.174Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:28.747Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T11:44:28.933Z] [DEBUG] [KILL-CHROME] Erro ao matar chrome.exe: | Data: "Command failed: taskkill /f /im chrome.exe /t\nERRO: o processo \"chrome.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:29.038Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:29.143Z] [DEBUG] [KILL-CHROME] Erro ao matar msedge.exe: | Data: "Command failed: taskkill /f /im msedge.exe /t\nERRO: o processo \"msedge.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:29.247Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:29.358Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:44:30.706Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T11:44:54.302Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T11:47:01.924Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
